"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"MUSEUM CURATOR",,,"TROLL ASSOCIATES",,,1540,,,,,,,"JUDLTH TROPEA",,"E2/1540",,0,"$2.95 ",,,,,,,
"STARTING SOCCER",,,"ELECTRONIC EDUCATION",,,1541,,,,,,,"HELEN EDOM & MIKE OSBORNE",,"E2/1541",,0,"RS 100",,,,,,,
"BOUNCE,TIGGER,BOUNCE",,,"SCHOLASTIC",,,1542,,,,,,,"ISABEL GAINES",,"E2/1542",,0,,,,,,,,
"RUN AWAY ROLEY",,,"SCHOLASTIC",,,1543,,,,,,,"ALLISON INCHES",,"E2/1543",,0,"$3.99 ",,,,,,,
"DORA SAVES MERMAID KINGDOM!",,,"SCHOLASTIC",,,1544,,,,,,,"MICHAEL TEITELBAUM",,"E2/1544",,0,"$5 ",,,,,,,
"THE FASCINATING WORLD OF BATS",,,"BARONET BOOKS",,,1545,,,,,,,"MARIA ANGELS JULIVERT",,"E2/1545",,0,"RS 70",,,,,,,
"LIFE STORY-ANT",,,"TROLL ASSOCIATES",,,1546,,,,,,,"MICHEAL CHINERY",,"E2/1546",,0,"$5 ",,,,,,,
"DINOSAURS",,,"WEEKLY READER BOOKS",,,1547,,,,,,,"ROBERT COUPE",,"E2/1547",,0,"$3.95 ",,,,,,,
"JUMP, FROG,JUMP",,,"SCHOLASTIC",,,1548,,,,,,,"ROBERT KALAN",,"E2/1548",,0,"RS 60",,,,,,,
"A WINTER DAY",,,"SCHOLASTIC",,,1549,,,,,,," DOUGLAS FLORIAN",,"E2/1549",,0,"$2.10 ",,,,,,,
"THE GYM TEACHER FROM THE BLACKLAG.",,,"SCHOLASTIC",,,1550,,,,,,,"MIKE THALER",,"E2/1550",,0,"RS 40",,,,,,,
"DANCING WITH MANATEES ",,,"SCHOLASTIC",,,1551,,,,,,,"FAITH MCNULTY",,"E2/1551",,0,30,,,,,,,
"HORRIBLE HARRY TAKES THE CAKES",,,"SCHOLASTIC",,,1552,,,,,,,"SUZY KLINE",,"E2/1552",,0,,,,,,,,
"THE LUCKY POCKET REFERENCE BOOK",,,"SCHOLASTIC",,,1553,,,,,,,,,"E2/1553",,0,,,,,,,,
"SPACEBRAT",,,"POCKET BOOKS",,,1554,,,,,,,"EVIL TWIN AND ALIENS ATE",,"E2/1554",,0,,,,,,,,
"I M BIG SISTER",,,"HYPER COLLINS PUBLISHERS",,,1555,,,,,,,"MAXIE CHAMBLISS",,"E2/1555",,0,,,,,,,,
"ELMO WORLD",,,"RANDOM HOUSE",,,1556,,,,,,,,,"E2/1556",,0,"6.99$",,,,,,,
"DISNEY BOLT",,,"GOLDEN BOOKS PUBLISHING CO.,",,,1557,,,,,,,,,"E2/1557",,0,"2.99$",,,,,,,
"SPIDER NAMES",,,"SCHOOL ZONE",,,1558,,,,,,,"SUSAN CANIZARES",,"E2/1558",,0,"3.25$",,,,,,,
"PICKY NICKY",,,"GROSSET & DUNLAP",,,1559,,,,,,,"CATHY EAST DUBOWSKI AND MARK DUBOWSKI ",,"E2/1559",,0,30,,,,,,,
"LETS PARTY",,,"ELECTRONIC EDUCATION",,,1560,,,,,,,"ANNA SCHLOOZ",,"E2/1560",,0,,,,,,,,
"AN AMERICAN TAIL TONY AND FIEVEL",,,"MC. DONALD",,,1561,,,,,,,"MICHAEL TEITELBAUM",,"E2/1561",,0,,,,,,,,
"THE GIANT JELLY BEAN JAR",,,"PUFFIN BOOKS",,,1562,,,,,,,"MARCIE ABOFF",,"E2/1562",,0,"3.99$",,,,,,,
"WOOLLY STOPS THE TRAIN ",,,"ELECTRONIC EDUCATION",,,1563,,,,,,,"HEATHER AMERY ",,"E2/1563",,0,"4.95$",,,,,,,
"CATS CRADLE",,,"KIDS CAN PRESS",,,1564,,,,,,,"ANNE AKERS JOHNSON",,"E2/1564",,0,100,,,,,,,
"DOT TO DOT ",,,"LANDOLL S INC.",,,1565,,,,,,,"MARY C MAY",,"E2/1565",,0,,,,,,,,
"THANKS FOR NOTHING ",,,"SCHOLASTIC",,,1566,,,,,,,"PETER MALONEY",,"E2/1566",,0,30,,,,,,,
"MY BIBLE SONGS ",,,"AMEX COMPANY LIMITED",,,1567,,,,,,,"SARA SLIWINSKA",,"E2/1567",,0,,,,,,,,
"WHERES MY EASTER EGG ",,,"PLAY MORE INC.",,,1569,,,,,,,"HARRIET ZIEFERT",,"E2/1569",,0,50,,,,,,,
"THE SMALLEST STEGOSAURUS",,,"SCHOLASTIC",,,1570,,,,,,,"LYNN SWEAT",,"E2/1570",,0,60,,,,,,,
"MY SPRING ROBIN",,,"SCHOLASTIC",,,1571,,,,,,,"ANNE ROCKWELL",,"E2/1571",,0,,,,,,,,
"GEORGE SHRINKS",,,"SCHOLASTIC",,,1572,,,,,,,"WILLIAM JOYCE ",,"E2/1572",,0,20,,,,,,,
"CRABBY &NABBY ",,,"NATIONAL WILD LIFE FEDERATION",,,1573,,,,,,,"SUZANNE TATE",,"E2/1573",,0,"4.99 $",,,,,,,
"THE MAGIC SCHOOL BUS",,,"SCHOLASTIC",,,1574,,,,,,,"JOANNA COLE",,"E2/1574",,0,,,,,,,,
