_neo4jInternalId,chapter_id,lessonId,lesson_title,standard_id,sub_institute_id,subject_id,teacher_id
375008,230,344,,41,1,3976,
375009,4980,345,,41,1,3976,
375010,232,346,,41,1,3976,
375011,199,347,,41,1,3975,
375012,200,348,,41,1,3975,
375013,201,349,,41,1,3975,
375014,202,350,,41,1,3975,
375015,203,351,,41,1,3975,
375016,204,352,,41,1,3975,
375017,205,353,,41,1,3975,
375018,206,354,,41,1,3975,
375019,207,355,,41,1,3975,
375020,208,356,,41,1,3975,
375021,209,357,,41,1,3975,
375022,210,358,,41,1,3975,
375023,211,359,,41,1,3975,
375024,212,360,,41,1,3975,
375025,213,361,,41,1,3975,
375026,214,362,,41,1,3975,
375027,215,363,,41,1,3975,
375028,216,364,,41,1,3975,
375029,977,365,,41,1,4064,
375030,978,366,,41,1,4064,
375031,979,367,,41,1,4064,
375032,980,368,,41,1,4064,
375033,981,369,,41,1,4064,
375034,982,370,,41,1,4064,
375035,5535,371,,41,1,4470,
375036,5534,372,,41,1,4470,
375037,5533,373,,41,1,4470,
375038,5531,374,,41,1,4470,
375039,5530,375,,41,1,4470,
375040,5651,376,,41,1,4470,
375041,5529,377,,41,1,4470,
375042,5528,378,,41,1,4470,
375043,5527,379,,41,1,4470,
375044,5652,380,,41,1,4470,
375045,5526,381,,41,1,4470,
375046,5532,382,,41,1,4470,
375047,5545,383,,41,1,4469,
375048,5544,384,,41,1,4469,
375049,5543,385,,41,1,4469,
375050,5541,386,,41,1,4469,
375051,5540,387,,41,1,4469,
375052,5539,388,,41,1,4469,
375053,5538,389,,41,1,4469,
375054,5537,390,,41,1,4469,
375055,5536,391,,41,1,4469,
375056,5542,392,,41,1,4469,
375057,949,393,,42,1,4064,
375058,950,394,,42,1,4064,
375059,951,395,,42,1,4064,
375060,952,396,,42,1,4064,
375061,953,397,,42,1,4064,
375062,5475,398,,42,1,4472,
375063,5474,399,,42,1,4472,
375064,5473,400,,42,1,4472,
375065,5472,401,,42,1,4472,
375066,906,402,,42,1,3978,
375067,907,403,,42,1,3978,
375068,3620,404,,42,1,3978,
375069,909,405,,42,1,3978,
375070,3622,406,,42,1,3978,
375071,911,407,,42,1,3978,
375072,3624,408,,42,1,3978,
375073,3626,409,,42,1,3978,
375074,914,410,,42,1,3978,
375075,3627,411,,42,1,3978,
375076,915,412,,42,1,3978,
375077,916,413,,42,1,3978,
375078,5494,414,,42,1,4435,
375079,5495,415,,42,1,4435,
375080,5496,416,,42,1,4435,
375081,5493,417,,42,1,4435,
375082,5492,418,,42,1,4435,
375083,5491,419,,42,1,4435,
375084,5490,420,,42,1,4435,
375085,5489,421,,42,1,4435,
375086,5488,422,,42,1,4435,
375087,5487,423,,42,1,4435,
375088,5481,424,,42,1,4469,
375089,5480,425,,42,1,4469,
375090,5479,426,,42,1,4469,
375091,5478,427,,42,1,4469,
375092,5477,428,,42,1,4469,
375093,5476,429,,42,1,4469,
375094,5486,430,,42,1,4470,
375095,5485,431,,42,1,4470,
375096,5484,432,,42,1,4470,
375097,5483,433,,42,1,4470,
375098,5482,434,,42,1,4470,
375099,891,435,,42,1,3975,
375100,892,436,,42,1,3975,
375101,893,437,,42,1,3975,
375102,894,438,,42,1,3975,
375103,895,439,,42,1,3975,
375104,896,440,,42,1,3975,
375105,897,441,,42,1,3975,
375106,898,442,,42,1,3975,
375107,899,443,,42,1,3975,
375108,900,444,,42,1,3975,
375109,901,445,,42,1,3975,
375110,902,446,,42,1,3975,
375111,903,447,,42,1,3975,
375112,904,448,,42,1,3975,
375113,905,449,,42,1,3975,
375114,934,459,,42,1,3976,
375115,935,460,,42,1,3976,
375116,936,461,,42,1,3976,
375117,937,462,,42,1,3976,
375118,938,463,,42,1,3976,
375119,939,464,,42,1,3976,
375120,940,465,,42,1,3976,
375121,941,466,,42,1,3976,
375122,942,467,,42,1,3976,
375123,943,468,,42,1,3976,
375124,944,469,,42,1,3976,
375125,945,470,,42,1,3976,
375126,946,471,,42,1,3976,
375127,947,472,,42,1,3976,
375128,948,473,,42,1,3976,
375129,1039,474,,43,1,4064,
375130,1040,475,,43,1,4064,
375131,1041,476,,43,1,4064,
375132,1042,477,,43,1,4064,
375133,1043,478,,43,1,4064,
375134,1044,479,,43,1,4064,
375135,1045,480,,43,1,4064,
375136,1046,481,,43,1,4064,
375137,6236,482,,43,1,4469,
375138,6237,483,,43,1,4469,
